CustomerID,LookalikeID,SimilarityScore
C0001,C0050,0.5838742081211422
C0001,C0097,0.5477225575051661
C0001,C0105,0.5465943944999485
C0002,C0030,0.6428571428571428
C0002,C0091,0.3801987652174059
C0002,C0032,0.3418817293789138
C0003,C0164,0.5547001962252291
C0003,C0140,0.5487954724560282
C0003,C0134,0.5199469468957452
C0004,C0070,0.4988876515698588
C0004,C0065,0.4628257234351004
C0004,C0078,0.46188021535170054
C0005,C0096,0.6482037235521645
C0005,C0164,0.5707817929853929
C0005,C0055,0.5144957554275265
C0006,C0058,0.6488856845230502
C0006,C0040,0.5803810000880093
C0006,C0114,0.47923383829852306
C0007,C0025,0.6689936080056726
C0007,C0020,0.5883484054145521
C0007,C0079,0.49613893835683387
C0008,C0144,0.39223227027636803
C0008,C0164,0.38074980525429486
C0008,C0088,0.33968311024337877
C0009,C0056,0.6123724356957946
C0009,C0140,0.560112033611204
C0009,C0162,0.5132649025747366
C0010,C0058,0.6488856845230502
C0010,C0040,0.5803810000880093
C0010,C0013,0.5419437309525751
C0011,C0107,0.6405126152203484
C0011,C0135,0.4841820261350419
C0011,C0022,0.47740991602628857
C0012,C0110,0.5333333333333333
C0012,C0101,0.4437601569801833
C0012,C0055,0.42426406871192845
C0013,C0040,0.5976143046671968
C0013,C0010,0.5419437309525751
C0013,C0058,0.5345224838248488
C0014,C0128,0.8944271909999159
C0014,C0159,0.7844645405527362
C0014,C0136,0.46188021535170054
C0015,C0060,0.9486832980505138
C0015,C0062,0.7287986971610244
C0015,C0166,0.6414269805898185
C0016,C0196,0.8113480845393758
C0016,C0187,0.6449020216370241
C0016,C0052,0.5966941897186162
C0017,C0037,0.55080945288825
C0017,C0028,0.4291954491428779
C0017,C0071,0.38490017945975047
C0018,C0049,0.574551657125233
C0018,C0177,0.5416025603090641
C0018,C0020,0.4923659639173309
C0019,C0020,0.6
C0019,C0083,0.48989794855663565
C0019,C0064,0.4879954250643349
C0020,C0026,0.7844645405527362
C0020,C0050,0.6396021490668313
C0020,C0179,0.6324555320336759
